Product,Quantity,Price,Date,Address,Total
USB-C Charging Cable,1,11.95,2019-12-30 08:02:00,"876 Adams St, San Francisco, CA 94016",11.95
AAA Batteries (4-pack),3,2.99,2019-12-07 18:12:00,"84 Washington St, San Francisco, CA 94016",8.97
AA Batteries (4-pack),1,3.84,2019-12-19 18:55:00,"270 North St, Dallas, TX 75001",3.84
Lightning Charging Cable,1,14.95,2019-12-13 14:41:00,"87 Washington St, Dallas, TX 75001",14.95
Wired Headphones,2,11.99,2019-12-13 10:10:00,"426 8th St, San Francisco, CA 94016",23.98
20in Monitor,1,109.99,2019-12-04 08:29:00,"983 Wilson St, San Francisco, CA 94016",109.99
Wired Headphones,1,11.99,2019-12-15 13:21:00,"103 Lincoln St, Dallas, TX 75001",11.99
Apple Airpods Headphones,1,150.0,2019-12-29 11:51:00,"359 Lake St, Atlanta, GA 30301",150.0
34in Ultrawide Monitor,1,379.99,2019-12-16 10:02:00,"504 Lakeview St, New York City, NY 10001",379.99
34in Ultrawide Monitor,1,379.99,2019-12-19 05:58:00,"398 8th St, Austin, TX 73301",379.99
Bose SoundSport Headphones,1,99.99,2019-12-30 00:17:00,"729 5th St, New York City, NY 10001",99.99
Wired Headphones,1,11.99,2019-12-18 22:11:00,"988 Lakeview St, San Francisco, CA 94016",11.99
USB-C Charging Cable,1,11.95,2019-12-18 07:19:00,"550 5th St, Dallas, TX 75001",11.95
Google Phone,1,600.0,2019-12-19 10:11:00,"783 13th St, San Francisco, CA 94016",600.0
USB-C Charging Cable,1,11.95,2019-12-19 10:11:00,"783 13th St, San Francisco, CA 94016",11.95
AA Batteries (4-pack),2,3.84,2019-12-22 23:34:00,"964 Maple St, Boston, MA 02215",7.68
Google Phone,1,600.0,2019-12-16 02:54:00,"341 Jefferson St, Seattle, WA 98101",600.0
Apple Airpods Headphones,1,150.0,2019-12-26 22:50:00,"570 Maple St, Atlanta, GA 30301",150.0
AA Batteries (4-pack),1,3.84,2019-12-16 15:29:00,"699 Dogwood St, Atlanta, GA 30301",3.84
Lightning Charging Cable,1,14.95,2019-12-17 11:34:00,"765 Meadow St, New York City, NY 10001",14.95
USB-C Charging Cable,2,11.95,2019-12-03 23:35:00,"419 1st St, Dallas, TX 75001",23.9
27in 4K Gaming Monitor,1,389.99,2019-12-29 08:58:00,"267 9th St, San Francisco, CA 94016",389.99
USB-C Charging Cable,1,11.95,2019-12-03 10:17:00,"654 Hill St, Atlanta, GA 30301",11.95
USB-C Charging Cable,1,11.95,2019-12-08 21:15:00,"880 River St, Los Angeles, CA 90001",11.95
